timestamp,price
2024-06-19T12:34:59.796639,9.88
2024-06-19T12:35:14.682736,9.88
2024-06-19T12:35:29.896355,9.88
2024-06-19T12:35:40.189093,9.88
2024-06-19T12:35:55.359794,9.88
2024-06-19T12:36:10.170188,9.88
2024-06-19T12:36:25.764999,9.88
2024-06-19T12:36:40.709621,9.88
2024-06-19T12:36:55.745960,9.87
2024-06-19T12:37:10.508717,9.88
2024-06-19T12:37:25.898290,9.88
2024-06-19T12:37:41.209670,9.88
2024-06-19T12:37:56.012962,9.87
2024-06-19T12:38:11.498868,9.88
2024-06-19T12:38:26.715949,9.88
2024-06-19T12:38:41.538598,9.88
2024-06-19T12:38:56.738755,9.88
2024-06-20T12:32:14.267587,9.86
2024-06-20T12:32:23.325311,9.86
